央视频道,#genre#
金鹰纪实,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/jyjsHDH265_4000.m3u8?E&U&A&K&P&S
金鹰卡通,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/jykt_2000.m3u8?E&U&A&K&P&S
快乐垂钓,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/fyzqklcdHDH265_4000.m3u8?E&U&A&K&P&S
先锋乒羽,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/xfpy_4000.m3u8?E&U&A&K&P&S
财富天下,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/cftx_4000.m3u8?E&U&A&K&P&S
嘉佳卡通,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/jjkt_2000.m3u8?E&U&A&K&P&S
天元围棋,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/tywq_2000.m3u8?E&U&A&K&P&S

地方频道,#genre#
重温经典,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/CWJD_4000.m3u8?E&U&A&K&P&S
四川经济,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/SCTV-2-H265_4000.m3u8?E&U&A&K&P&S
四川文化,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/SCTV-3-H265_4000.m3u8?E&U&A&K&P&S
四川新闻,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/SCTV-4H265_4000.m3u8?E&U&A&K&P&S
四川影视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/SCTV-5-scysH265_4000.m3u8?E&U&A&K&P&S
四川妇女,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/SCTV-7-_4000.m3u8?E&U&A&K&P&S
四川科教,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/SCTV-ggSCTV-8_4000.m3u8?E&U&A&K&P&S
四川乡村,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/SCTV-kjSCTV-9-_4000.m3u8?E&U&A&K&P&S
星空购物.http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/xkgwgq_4000.m3u8?E&U&A&K&P&S
峨嵋电影,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/emdygqH265_4000.m3u8?E&U&A&K&P&S
精品导视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/jpdsH265_4000.m3u8?E&U&A&K&P&S
精品导视2,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/jpdsgq-hkkp_4000.m3u8?E&U&A&K&P&S
川网导视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/cwdsHDH264_4000.m3u8?E&U&A&K&P&S
4K电影,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/emdy4k_8000.m3u8?E&U&A&K&P&S
成都新闻,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/CDTV-1_4000.m3u8?E&U&A&K&P&S
成都经济,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/CDTV-2_4000.m3u8?E&U&A&K&P&S
成都都市,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/CDTV-3_4000.m3u8?E&U&A&K&P&S
成都影视,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/CDTV-4_4000.m3u8?E&U&A&K&P&S
成都公共,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/CDTV-5_4000.m3u8?E&U&A&K&P&S
成都少儿,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/CDTV-6_2000.m3u8?E&U&A&K&P&S
成都购物,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/mrgw_4000.m3u8?E&U&A&K&P&S
成都高新,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/cdgxdstgq_2000.m3u8?E&U&A&K&P&S
崇州,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/czyt_4000.m3u8?E&U&A&K&P&S
大邑,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/dyytH265_4000.m3u8?E&U&A&K&P&S
都江堰综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/djyzh_4000.m3u8?E&U&A&K&P&S
金牛综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/jnyx_2000.m3u8?E&U&A&K&P&S
金堂,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/jtzhpd_2000.m3u8?E&U&A&K&P&S
简阳新闻,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/jyxwzh_2000.m3u8?E&U&A&K&P&S
龙泉新闻,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/lqxw_2000.m3u8?E&U&A&K&P&S
郫都新闻,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/pxds1_2000.m3u8?E&U&A&K&P&S
蒲江综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/pjxw_4000.m3u8?E&U&A&K&P&S
彭州综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/pzxwzh_2000.m3u8?E&U&A&K&P&S
青白江综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/qbjxwzh_2000.m3u8?E&U&A&K&P&S
邛崃综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/qlds1t_2000.m3u8?E&U&A&K&P&S
双流综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/slgq_2000.m3u8?E&U&A&K&P&S
温江新闻,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/wjytH264_2000.m3u8?E&U&A&K&P&S
新都综合,http://116.169.72.12:2380/hw1live.rxip.sc96655.com.huan.tv/live/xdzhpd_2000.m3u8?E&U&A&K&P&S
